date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:59:05	157/157	---MCZ	200	added ('OK')	text/plain	date:Tue,%2002%20Jun%202026%2003:14:05%20GMT	https://kiti.wpbingosite.com/robots.txt		(from )
08:59:06	196467/196467	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2003:14:05%20GMT	https://kiti.wpbingosite.com/	./shreeratna/kiti.wpbingosite.com/index.html	(from )
08:59:07	5842/5842	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2003:14:07%20GMT	http://gmpg.org/xfn/11	./shreeratna/gmpg.org/xfn/11.html	(from https://kiti.wpbingosite.com/)
08:59:07	2834/2834	---MCZ	200	added ('OK')	text/css	date:Tue,%2022%20Apr%202025%2003:42:13%20GMT	https://kiti.wpbingosite.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	./shreeratna/kiti.wpbingosite.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from https://kiti.wpbingosite.com/)
08:59:08	671/671	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Jun%202026%2003:14:08%20GMT	http://kiti.wpbingosite.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	./shreeratna/kiti.wpbingosite.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.2005e.delayed	(from https://kiti.wpbingosite.com/)
08:59:10	9162/9162	---MCZ	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202026%2001:30:04%20GMT	https://kiti.wpbingosite.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	./shreeratna/kiti.wpbingosite.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto005e.css	(from https://kiti.wpbingosite.com/)
08:59:10	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Jun%202026%2003:14:10%20GMT	http://fonts.googleapis.com/	./shreeratna/fonts.googleapis.com/index.html	(from https://kiti.wpbingosite.com/)
08:59:10	23071/23071	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d8d634ada0eca743d333c20d8135e6fb%22	https://kiti.wpbingosite.com/feed/	./shreeratna/kiti.wpbingosite.com/feed/index.html	(from https://kiti.wpbingosite.com/)
08:59:11	4925/4925	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d8d634ada0eca743d333c20d8135e6fb%22	https://kiti.wpbingosite.com/comments/feed/	./shreeratna/kiti.wpbingosite.com/comments/feed/index.html	(from https://kiti.wpbingosite.com/)
08:59:12	41200/41200	---MCZ	200	added ('OK')	text/css	date:Tue,%2022%20Apr%202025%2003:42:13%20GMT	https://kiti.wpbingosite.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style.css?ver=4.4.0	./shreeratna/kiti.wpbingosite.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style474a.css	(from https://kiti.wpbingosite.com/)
08:59:12	2894/2894	---MCZ	200	added ('OK')	text/css	date:Tue,%2022%20Apr%202025%2003:41:36%20GMT	https://kiti.wpbingosite.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	./shreeratna/kiti.wpbingosite.com/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://kiti.wpbingosite.com/)
